id,sentence,sense_keys,glosses,target
d000.s001.t000,"Dorothy L. Sayers , `` The Nine [TGT] Tailors [TGT] ``",['tailor%1:18:00::'],['a person whose occupation is making and altering garments'],[0]
d000.s002.t000,"ASLACTON , [TGT] England [TGT] --",['england%1:15:00::'],['a division of the United Kingdom'],[0]
d000.s003.t000,"Of all [TGT] scenes [TGT] that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['scene%1:10:00::', 'scene%1:15:00::', 'scene%1:26:01::', 'scene%1:06:00::', 'scene%1:11:00::', 'scene%1:26:00::', 'scene%1:10:01::', 'scene%1:15:01::', 'scene%1:06:01::', 'scene%1:09:00::']","['a subdivision of an act of a play', 'the place where some action occurs', 'a display of bad temper', 'the painted structures of a stage set that are intended to suggest a particular locale', 'an incident (real or imaginary)', 'a situation treated as an observable object', 'a consecutive series of pictures that constitutes a unit of action in a film', 'the context and environment in which something is set', 'graphic art consisting of the graphic or photographic representation of a visual percept', 'the visual percept of a region']",[9]
d000.s003.t001,"Of all scenes that [TGT] evoke [TGT] rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['evoke%2:36:00::', 'evoke%2:36:01::', 'evoke%2:37:00::', 'evoke%2:36:02::', 'evoke%2:32:01::']","['evoke or provoke to appear or occur', 'deduce (a principle) or construe (a meaning)', 'call forth (emotions, feelings, and responses)', 'summon into action or bring into existence, often as if by magic', 'call to mind']",[4]
d000.s003.t002,"Of all scenes that evoke [TGT] rural [TGT] England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['rural%3:01:01::', 'rural%3:00:00::']","['of or relating to the countryside as opposed to the city', 'living in or characteristic of farming or country life']",[1]
d000.s003.t003,"Of all scenes that evoke rural [TGT] England [TGT] , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .",['england%1:15:00::'],['a division of the United Kingdom'],[0]
d000.s003.t004,"Of all scenes that evoke rural England , this is one of the [TGT] loveliest [TGT] : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['lovely%5:00:00:lovable:00', 'lovely%5:00:00:beautiful:00']","['lovable especially in a childlike or naive way', 'appealing to the emotions as well as the eye']",[1]
d000.s003.t005,"Of all scenes that evoke rural England , this is one of the loveliest : An [TGT] ancient [TGT] stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['ancient%5:00:00:past:00', 'ancient%5:00:00:old:02']","['belonging to times long past especially of the historical period before the fall of the Western Roman Empire', 'very old']",[1]
d000.s003.t006,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient [TGT] stone [TGT] church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['stone%1:18:05::', 'stone%1:17:00::', 'stone%1:06:00::', 'stone%1:18:03::', 'stone%1:27:01::', 'stone%1:18:04::', 'stone%1:18:02::', 'stone%1:18:00::', 'stone%1:07:00::', 'stone%1:27:00::', 'stone%1:18:01::', 'stone%1:23:00::', 'stone%1:20:00::']","['United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946)', 'a lump or mass of hard consolidated mineral matter', 'building material consisting of a piece of rock hewn in a definite shape for a special purpose', 'United States feminist and suffragist (1818-1893)', 'a crystalline rock that can be cut and polished for jewelry', 'United States filmmaker (born in 1946)', 'United States journalist who advocated liberal causes (1907-1989)', 'United States architect (1902-1978)', 'a lack of feeling or expression or movement', ""material consisting of the aggregate of minerals like those making up the Earth's crust"", 'United States jurist who served on the United States Supreme Court as chief justice (1872-1946)', 'an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds', 'the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed']",[2]
d000.s003.t007,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone [TGT] church [TGT] stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['church%1:06:00::', 'church%1:14:00::', 'church%1:04:00::', 'church%1:14:01::']","['a place for public (especially Christian) worship', 'one of the groups of Christians who have their own beliefs and forms of worship', 'a service conducted in a house of worship', 'the body of people who attend or belong to a particular local church']",[0]
d000.s003.t008,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church [TGT] stands [TGT] amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .","['stand%2:35:10::', 'stand%2:33:00::', 'stand%2:31:00::', 'stand%2:42:06::', 'stand%2:35:01::', 'stand%2:31:01::', 'stand%2:42:03::', 'stand%2:42:00::', 'stand%2:42:04::', 'stand%2:35:00::', 'stand%2:42:01::', 'stand%2:42:02::']","['be available for stud services', 'withstand the force of something', 'put up with something or somebody unpleasant', 'remain inactive or immobile', 'put into an upright position', 'have or maintain a position or stand on an issue', 'occupy a place or location, also metaphorically', ""hold one's ground; maintain a position; be steadfast or upright"", 'be in some specified state or condition', 'be standing; be upright', 'be tall; have a height of; copula', 'be in effect; be or remain in force']",[6]
d000.s003.t009,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the [TGT] fields [TGT] , the sound of bells cascading from its tower , calling the faithful to evensong .","['field%1:14:01::', 'field%1:09:01::', 'field%1:17:00::', 'field%1:15:01::', 'field%1:09:00::', 'field%1:15:05::', 'field%1:15:03::', 'field%1:26:00::', 'field%1:14:00::', 'field%1:19:00::', 'field%1:14:03::', 'field%1:14:02::', 'field%1:15:00::', 'field%1:06:00::', 'field%1:04:00::', 'field%1:15:02::', 'field%1:15:04::']","['all of the horses in a particular horse race', 'the area that is visible (as through an optical instrument)', 'extensive tract of level open land', 'somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected', 'a branch of knowledge', 'a geographic region (land or sea) under which something valuable is found', 'a region in which active military operations are in progress', 'a particular environment or walk of life', '(mathematics) a set of elements such that addition and multiplication are commutative and associative and multiplication is distributive over addition and there are two elements 0 and 1', 'the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it', '(computer science) a set of one or more adjacent characters comprising a unit of information', 'all the competitors in a particular contest or sporting event', 'a piece of land cleared of trees and usually enclosed', 'a place where planes take off and land', 'a particular kind of commercial enterprise', 'a piece of land prepared for playing a game', 'a region where a battle is being (or has been) fought']",[2]
d000.s003.t010,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the [TGT] sound [TGT] of bells cascading from its tower , calling the faithful to evensong .","['sound%1:11:00::', 'sound%1:10:01::', 'sound%1:17:01::', 'sound%1:17:00::', 'sound%1:07:00::', 'sound%1:10:00::', 'sound%1:09:00::', 'sound%1:19:00::']","['the sudden occurrence of an audible event', '(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language', 'a narrow channel of the sea joining two larger bodies of water', 'a large ocean inlet or deep bay', 'the particular auditory effect produced by a given cause', 'the audible part of a transmitted signal', 'the subjective sensation of hearing something', 'mechanical vibrations transmitted by an elastic medium']",[4]
d000.s003.t011,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of [TGT] bells [TGT] cascading from its tower , calling the faithful to evensong .","['bell%1:06:00::', 'bell%1:18:01::', 'bell%1:28:00::', 'bell%1:06:04::', 'bell%1:06:03::', 'bell%1:06:02::', 'bell%1:11:00::', 'bell%1:25:00::', 'bell%1:18:00::', 'bell%1:18:02::']","['a hollow device made of metal that makes a ringing sound when struck', 'English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961)', ""(nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m."", 'a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument', 'the flared opening of a tubular device', 'a push button at an outer door that gives a ringing or buzzing signal when pushed', 'the sound of a bell being struck', 'the shape of a bell', 'United States inventor (born in Scotland) of the telephone (1847-1922)', 'a phonetician and father of Alexander Graham Bell (1819-1905)']",[0]
d000.s003.t012,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells [TGT] cascading [TGT] from its tower , calling the faithful to evensong .","['cascade%2:38:00::', 'cascade%2:35:00::']","['rush down in big quantities, like a cascade', 'arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible']",[0]
d000.s003.t013,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its [TGT] tower [TGT] , calling the faithful to evensong .","['tower%1:06:01::', 'tower%1:25:00::', 'tower%1:06:00::']","['a powerful small boat designed to pull or push larger ships', 'anything that approximates the shape of a column or tower', 'a structure taller than its diameter; can stand alone or be attached to a larger building']",[2]
d000.s003.t014,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , [TGT] calling [TGT] the faithful to evensong .","['call%2:32:10::', 'call%2:32:01::', 'call%2:40:09::', 'call%2:32:03::', 'call%2:32:08::', 'call%2:32:07::', 'call%2:32:06::', 'call%2:38:00::', 'call%2:32:00::', 'call%2:32:13::', 'call%2:41:12::', 'call%2:42:09::', 'call%2:32:14::', 'call%2:41:04::', 'call%2:32:02::', 'call%2:32:15::', 'call%2:31:05::', 'call%2:41:00::', 'call%2:29:05::', 'call%2:41:14::', 'call%2:32:09::', 'call%2:32:05::', 'call%2:40:05::', 'call%2:32:11::', 'call%2:32:12::', 'call%2:31:13::', 'call%2:31:00::', 'call%2:32:04::']","['make a prediction about; tell in advance', 'get or try to get into communication (with someone) by telephone', 'demand payment of (a loan)', 'utter a characteristic note or cry', 'declare in the capacity of an umpire or referee', 'challenge (somebody) to make good on a statement; charge with or censure for an offense', 'indicate a decision in regard to', 'give the calls (to the dancers) for a square dance', 'ascribe a quality to or give a name of a common noun that reflects a quality', 'read aloud to check for omissions or absentees', 'make a stop in a harbour', 'stop or postpone because of adverse conditions, such as bad weather', 'order, summon, or request for a specific duty or activity, work, role', 'call a meeting; invite or command to meet', 'assign a specified (usually proper) proper name to', 'order or request or give a command for', 'consider or regard as being', 'pay a brief visit', 'rouse somebody from sleep with a call', 'greet, as with a prescribed form, title, or name', 'utter a sudden loud cry', 'order, request, or command to come', 'make a demand, as for a card or a suit or a show of hands', 'lure by imitating the characteristic call of an animal', 'require the presentation of for redemption before maturation', 'utter in a loud voice or announce', 'challenge the sincerity or truthfulness of', 'send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message']",[21]
d000.s003.t015,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the [TGT] faithful [TGT] to evensong .","['faithful%1:14:01::', 'faithful%1:14:00::']","['any loyal and steadfast following', 'a group of people who adhere to a common faith and habitually attend a given church']",[1]
d000.s003.t016,"Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to [TGT] evensong [TGT] .","['evensong%1:10:00::', 'evensong%1:28:00::']","['(Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer', 'the sixth of the seven canonical hours of the divine office; early evening; now often made a public service on Sundays']",[0]
d000.s004.t000,"The [TGT] parishioners [TGT] of St. Michael and All Angels stop to chat at the church door , as members here always have .",['parishioner%1:18:00::'],['a member of a parish'],[0]
d000.s004.t001,"The parishioners of St. Michael and All Angels [TGT] stop [TGT] to chat at the church door , as members here always have .","['stop%2:38:02::', 'stop%2:38:01::', 'stop%2:33:00::', 'stop%2:42:00::', 'stop%2:35:00::', 'stop%2:30:12::', 'stop%2:35:12::', 'stop%2:38:00::', 'stop%2:30:05::', 'stop%2:42:13::', 'stop%2:41:00::']","['interrupt a trip', 'cause to stop', 'hold back, as of a danger or an enemy; check the expansion or influence of', 'put an end to a state or an activity', 'seize on its way', 'stop and wait, as if awaiting further instructions or developments', 'render unsuitable for passage', 'come to a halt, stop moving', 'prevent completion', 'have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical', 'stop from happening or developing']",[7]
d000.s004.t002,"The parishioners of St. Michael and All Angels stop to [TGT] chat [TGT] at the church door , as members here always have .",['chat%2:32:00::'],['talk socially without exchanging too much information'],[0]
d000.s004.t003,"The parishioners of St. Michael and All Angels stop to chat at the [TGT] church [TGT] door , as members here always have .","['church%1:06:00::', 'church%1:14:00::', 'church%1:04:00::', 'church%1:14:01::']","['a place for public (especially Christian) worship', 'one of the groups of Christians who have their own beliefs and forms of worship', 'a service conducted in a house of worship', 'the body of people who attend or belong to a particular local church']",[0]
d000.s004.t004,"The parishioners of St. Michael and All Angels stop to chat at the church [TGT] door [TGT] , as members here always have .","['door%1:06:01::', 'door%1:06:00::', 'door%1:06:04::', 'door%1:06:03::', 'door%1:07:00::']","['the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close', 'a swinging or sliding barrier that will close the entrance to a room or building or vehicle', 'a structure where people live or work (usually ordered along a street or road)', 'a room that is entered via a door', 'anything providing a means of access (or escape)']","[1, 0]"
d000.s004.t005,"The parishioners of St. Michael and All Angels stop to chat at the church door , as [TGT] members [TGT] here always have .","['member%1:08:00::', 'member%1:08:01::', 'member%1:24:00::', 'member%1:18:00::', 'member%1:14:00::']","['an external body part that projects from the body', ""the male organ of copulation (`member' is a euphemism)"", 'anything that belongs to a set or class', 'one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)', 'an organization that is a member of another organization (especially a state that belongs to a group of nations)']",[3]
d000.s004.t006,"The parishioners of St. Michael and All Angels stop to chat at the church door , as members [TGT] here [TGT] always have .","['here%4:02:01::', 'here%4:02:02::', 'here%4:02:04::', 'here%4:02:00::']","['to this place (especially toward the speaker)', 'in this circumstance or respect or on this point or detail', 'at this time; now', 'in or at this place; where the speaker or writer is']",[3]
d000.s004.t007,"The parishioners of St. Michael and All Angels stop to chat at the church door , as members here [TGT] always [TGT] have .","['always%4:02:03::', 'always%4:02:02::', 'always%4:02:01::', 'always%4:02:00::', 'always%4:02:04::']","['without interruption', 'at any time or in any event', 'forever; throughout all time', 'at all times; all the time and on every occasion', 'without variation or change, in every case']",[3]
d000.s005.t000,"In the [TGT] tower [TGT] , five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","['tower%1:06:01::', 'tower%1:25:00::', 'tower%1:06:00::']","['a powerful small boat designed to pull or push larger ships', 'anything that approximates the shape of a column or tower', 'a structure taller than its diameter; can stand alone or be attached to a larger building']",[2]
d000.s005.t001,"In the tower , five [TGT] men [TGT] and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","['man%1:05:01::', 'man%1:18:00::', 'man%1:18:06::', 'man%1:06:00::', 'man%1:18:07::', 'man%1:05:00::', 'man%1:15:00::', 'man%1:18:03::', 'man%1:18:08::', 'man%1:18:05::', 'man%1:18:04::']","['any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'an adult male person who has a manly character (virile and courageous competent)', 'game equipment consisting of an object used in playing certain board games', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'all of the living human inhabitants of the earth', 'one of the British Isles in the Irish Sea', 'someone who serves in the armed forces; a member of a military force', 'a male subordinate', 'a manservant who acts as a personal attendant to his employer', 'the generic use of the word to refer to any human being']",[1]
d000.s005.t002,"In the tower , five men and [TGT] women [TGT] pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","['woman%1:18:02::', 'woman%1:14:00::', 'woman%1:18:00::', 'woman%1:18:01::']","['a human female employed to do housework', 'women as a class', 'an adult female person (as opposed to a man)', 'a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man']",[2]
d000.s005.t003,"In the tower , five men and women [TGT] pull [TGT] rhythmically on ropes attached to the same five bells that first sounded here in 1614 .","['pull%2:35:04::', 'pull%2:35:05::', 'pull%2:38:02::', 'pull%2:35:00::', 'pull%2:35:10::', 'pull%2:33:13::', 'pull%2:38:03::', 'pull%2:30:11::', 'pull%2:38:00::', 'pull%2:38:01::', 'pull%2:41:00::', 'pull%2:29:00::', 'pull%2:38:13::', 'pull%2:35:02::', 'pull%2:38:04::', 'pull%2:35:01::', 'pull%2:35:03::']","['apply force so as to cause motion towards the source of the motion', 'strip of feathers', 'operate when rowing a boat', 'cause to move by pulling', 'remove, usually with some force or effort; also used in an abstract sense', 'take sides with; align oneself with; show strong sympathy for', 'bring, take, or pull out of a container or from under a cover', 'take away', 'steer into a certain direction', 'move into a certain direction', 'perform an act, usually with a negative connotation', 'strain abnormally', 'cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense', 'direct toward itself or oneself by means of some psychological power or physical attributes', 'rein in to keep from winning a race', 'tear or be torn violently', 'hit in the direction that the player is facing when carrying through the swing']",[0]
d000.s005.t004,"In the tower , five men and women pull [TGT] rhythmically [TGT] on ropes attached to the same five bells that first sounded here in 1614 .",['rhythmically%4:02:00::'],['in a rhythmic manner'],[0]
d000.s005.t005,"In the tower , five men and women pull rhythmically on [TGT] ropes [TGT] attached to the same five bells that first sounded here in 1614 .","['rope%1:06:01::', 'rope%1:06:00::']","['street names for flunitrazepan', 'a strong line']",[1]
d000.s005.t006,"In the tower , five men and women pull rhythmically on ropes [TGT] attached [TGT] to the same five bells that first sounded here in 1614 .","['attach%2:35:00::', 'attach%2:35:02::', 'attach%2:40:00::', 'attach%2:41:03::', 'attach%2:35:01::']","['become attached', 'be attached; be in contact with', 'take temporary possession of as a security, by legal authority', 'create social or emotional ties', 'cause to be attached']",[1]
d000.s005.t007,"In the tower , five men and women pull rhythmically on ropes attached to the [TGT] same [TGT] five bells that first sounded here in 1614 .","['same%3:00:02::', 'same%5:00:00:unchanged:00', 'same%3:00:04::', 'same%3:00:00::']","['same in identity', 'unchanged in character or nature', 'equal in amount or value', 'closely similar or comparable in kind or quality or quantity or degree']",[0]
d000.s005.t008,"In the tower , five men and women pull rhythmically on ropes attached to the same five [TGT] bells [TGT] that first sounded here in 1614 .","['bell%1:06:00::', 'bell%1:18:01::', 'bell%1:28:00::', 'bell%1:06:04::', 'bell%1:06:03::', 'bell%1:06:02::', 'bell%1:11:00::', 'bell%1:25:00::', 'bell%1:18:00::', 'bell%1:18:02::']","['a hollow device made of metal that makes a ringing sound when struck', 'English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961)', ""(nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m."", 'a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument', 'the flared opening of a tubular device', 'a push button at an outer door that gives a ringing or buzzing signal when pushed', 'the sound of a bell being struck', 'the shape of a bell', 'United States inventor (born in Scotland) of the telephone (1847-1922)', 'a phonetician and father of Alexander Graham Bell (1819-1905)']",[0]
d000.s005.t009,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that [TGT] first [TGT] sounded here in 1614 .","['first%4:02:01::', 'first%4:02:03::', 'first%4:02:00::', 'first%4:02:02::']","['prominently forward', 'before another in time, space, or importance', 'before anything else', 'the initial time']",[3]
d000.s005.t010,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first [TGT] sounded [TGT] here in 1614 .","['sound%2:39:03::', 'sound%2:39:02::', 'sound%2:39:01::', 'sound%2:39:00::', 'sound%2:32:00::', 'sound%2:30:00::', 'sound%2:39:06::']","['give off a certain sound or sounds', 'announce by means of a sound', 'cause to sound', 'make a certain noise or sound', 'utter with vibrating vocal chords', 'measure the depth of (a body of water) with a sounding line', 'appear in a certain way']",[3]
d000.s005.t011,"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first sounded [TGT] here [TGT] in 1614 .","['here%4:02:01::', 'here%4:02:02::', 'here%4:02:04::', 'here%4:02:00::']","['to this place (especially toward the speaker)', 'in this circumstance or respect or on this point or detail', 'at this time; now', 'in or at this place; where the speaker or writer is']",[3]
d000.s006.t000,"But there is [TGT] also [TGT] a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .",['also%4:02:00::'],['in addition'],[0]
d000.s006.t001,"But there is also a [TGT] discordant [TGT] , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","['discordant%5:00:00:inharmonious:00', 'discordant%3:00:00::']","['lacking in harmony', 'not in agreement or harmony']",[1]
d000.s006.t002,"But there is also a discordant , [TGT] modern [TGT] note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","['modern%5:00:00:progressive:01', 'modern%3:00:00::', 'modern%5:00:00:fashionable:00', 'modern%5:00:00:late:01', 'modern%5:00:00:nonclassical:00']","['ahead of the times', 'belonging to the modern era; since the Middle Ages', 'relating to a recently developed fashion or style', 'used of a living language; being the current stage in its development', 'characteristic of present-day art and music and literature and architecture']",[1]
d000.s006.t003,"But there is also a discordant , modern [TGT] note [TGT] in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening .","['note%1:21:01::', 'note%1:26:00::', 'note%1:10:05::', 'note%1:21:00::', 'note%1:10:00::', 'note%1:07:00::', 'note%1:10:03::', 'note%1:10:04::', 'note%1:10:02::']","['a piece of paper money (especially one issued by a central bank)', 'high status importance owing to marked superiority', 'a tone of voice that shows what the speaker is feeling', 'a promise to pay a specified amount on demand or at a certain time', 'a brief written record', 'a characteristic emotional quality', 'a short personal letter', 'a notation representing the pitch and duration of a musical sound', 'a comment or instruction (usually added)']",[5]
d000.s006.t004,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the [TGT] church-goers [TGT] enjoying the peal of bells this cool autumn evening .",['churchgoer%1:18:00::'],['a religious person who goes to church regularly'],[0]
d000.s006.t005,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers [TGT] enjoying [TGT] the peal of bells this cool autumn evening .","['enjoy%2:34:00::', 'enjoy%2:39:00::', 'enjoy%2:34:01::', 'enjoy%2:37:01::', 'enjoy%2:37:00::']","['take delight in', ""have for one's benefit"", 'have benefit from', 'get pleasure from', 'derive or receive pleasure from; get enjoyment from; take pleasure in']","[4, 0, 3]"
d000.s006.t006,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the [TGT] peal [TGT] of bells this cool autumn evening .",['peal%1:11:00::'],['a deep prolonged sound (as of thunder or large bells)'],[0]
d000.s006.t007,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of [TGT] bells [TGT] this cool autumn evening .","['bell%1:06:00::', 'bell%1:18:01::', 'bell%1:28:00::', 'bell%1:06:04::', 'bell%1:06:03::', 'bell%1:06:02::', 'bell%1:11:00::', 'bell%1:25:00::', 'bell%1:18:00::', 'bell%1:18:02::']","['a hollow device made of metal that makes a ringing sound when struck', 'English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961)', ""(nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m."", 'a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument', 'the flared opening of a tubular device', 'a push button at an outer door that gives a ringing or buzzing signal when pushed', 'the sound of a bell being struck', 'the shape of a bell', 'United States inventor (born in Scotland) of the telephone (1847-1922)', 'a phonetician and father of Alexander Graham Bell (1819-1905)']",[0]
d000.s006.t008,"But there is also a discordant , modern note in Aslacton , though it can not be heard by the church-goers enjoying the peal of bells this [TGT] cool [TGT] autumn evening .","['cool%5:00:00:fashionable:00', 'cool%3:00:01::', 'cool%5:00:00:unqualified:02', 'cool%3:00:03::', 'cool%5:00:00:composed:00', 'cool%3:00:02::']","['fashionable and attractive at the time; often skilled or socially adept', 'neither warm nor very cold; giving relief from heat', '(used of a number or sum) without exaggeration or qualification', '(color) inducing the impression of coolness; used especially of greens and blues and violets', 'marked by calm self-control (especially in trying circumstances); unemotional', 'psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike']",[1]
